analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement
A2.1,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,ANOVA F-test for the main effect of statistical significance of the reported results (significant vs. nonsignificant) on ratings of significance to media psychology.,"All significance tests are reported in detail in Table 4. Given the number of tests, there was an inflated probability of false positives for a default criterion of Cronbach's α = .05. Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen's d = -0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power) and α = .05 (see Table 5).",,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)
[...]
#Significance to Media Psychology
TOSTtwo(m1=equiv_array[1,1], m2=equiv_array[2,1], sd1=equiv_array[1,2], sd2=equiv_array[2,2], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,1], m2=equiv_array[4,1], sd1=equiv_array[3,2], sd2=equiv_array[4,2], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A2.2,model specification,ANOVA output for quality of writing,table,"a_writing <- aov(
  r_writing ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_writing)",pilot_paper/elson_2020/analysis_code.R:132-136,1,,,,,,
A2.2,variable specification,"""we manipulated the originality and statistical segnificance of the research""",text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,,,,,,
A2.2,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.2,variable specification,"""we manipulated the originality and statistical segnificance of the research""",text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,,,,,,
A2.2,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.2,variable specification,ANOVA output for quality of writing,text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,,,,,,
A2.2,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.2,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.3,model specification,ANOVA output for significance to media psychology sophistication of theory,table,"a_sophistication <- aov(
  r_sophistication ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_sophistication)",pilot_paper/elson_2020/analysis_code.R:138-142,1,,,,,,
A2.3,variable specification,"""we manipulated the originality and statistical segnificance of the research""",text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,,,,,,
A2.3,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.3,variable specification,"""we manipulated the originality and statistical segnificance of the research""",text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,,,,,,
A2.3,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.3,variable specification,ANOVA output for significance to media psychology sophistication of theory,text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,,,,,,
A2.3,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.3,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.4,model specification,ANOVA output for  appropriateness of methosd and design,table,"a_methods <- aov(
  r_methods ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_methods)",pilot_paper/elson_2020/analysis_code.R:144-148,1,,,,,,
A2.4,variable specification,"""we manipulated the originality and statistical segnificance of the research""",text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,,,,,,
A2.4,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.4,variable specification,"""we manipulated the originality and statistical segnificance of the research""",text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,,,,,,
A2.4,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.4,variable specification,"""we manipulated the originality and statistical segnificance of the research""",text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,,,,,,
A2.4,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.4,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.5,model specification,ANOVA output for  presentation and discussion of results,table,"a_presentation <- aov(
  r_presentation ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_presentation)",pilot_paper/elson_2020/analysis_code.R:150-154,1,,,,,,
A2.5,variable specification,"""we manipulated the originality and statistical segnificance of the research""",text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,,,,,,
A2.5,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.5,variable specification,"""we manipulated the originality and statistical segnificance of the research""",text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,,,,,,
A2.5,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.5,variable specification,"""we manipulated the originality and statistical segnificance of the research""",text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,,,,,,
A2.5,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.5,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.6,model specification,ANOVA output for overall recommendation,table,"a_overall <- aov(
  r_overall ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_overall)",pilot_paper/elson_2020/analysis_code.R:156-160,1,,,,,,
A2.6,variable specification,"""we manipulated the originality and statistical segnificance of the research""",text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,,,,,,
A2.6,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.6,variable specification,"""we manipulated the originality and statistical segnificance of the research""",text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,,,,,,
A2.6,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.6,variable specification,"""we manipulated the originality and statistical segnificance of the research""",text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,,,,,,
A2.6,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.6,inference criteria,"""Given the number of tests, there was an inflated probability of false positives for a default criterion of Cronbach’s α = .05. """,text,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.7,model specification,ANOVA output for total score,table,"a_total <- aov(
  r_total ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_total)",pilot_paper/elson_2020/analysis_code.R:162-164,1,,,,,,
A2.7,variable specification,"""we manipulated the originality and statistical segnificance of the research""",text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,,,,,,
A2.7,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.7,variable specification,"""we manipulated the originality and statistical segnificance of the research""",text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,,,,,,
A2.7,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.7,variable specification,"""we manipulated the originality and statistical segnificance of the research""",text,"a_significance <- aov(
  r_mediapsych ~ as.factor(c_originality) * as.factor(c_significance),
  data = datafile
)
anova_stats(a_significance)",pilot_paper/elson_2020/analysis_code.R:125-129,1,,,,,,
A2.7,transformation,"""For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).""",text,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A2.7,inference criteria,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.1,model specification,"""Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen’s d = −0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power)""",text,"TOSTtwo(m1=equiv_array[1,1], m2=equiv_array[2,1], sd1=equiv_array[1,2], sd2=equiv_array[2,2], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:238,1,,,,,,
A3.1,variable specification,"Segnificance to media psychology, original study vs. replication",table,"TOSTtwo(m1=equiv_array[1,1], m2=equiv_array[2,1], sd1=equiv_array[1,2], sd2=equiv_array[2,2], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)","pilot_paper/elson_2020/analysis_code.R:237, 238",1,,,,,,
A3.1,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.1,variable specification,"Segnificance to media psychology, original study vs. replication",table,"TOSTtwo(m1=equiv_array[1,1], m2=equiv_array[2,1], sd1=equiv_array[1,2], sd2=equiv_array[2,2], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)","pilot_paper/elson_2020/analysis_code.R:237, 238",1,,,,,,
A3.1,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.1,variable specification,"Segnificance to media psychology, original study vs. replication",table,"TOSTtwo(m1=equiv_array[1,1], m2=equiv_array[2,1], sd1=equiv_array[1,2], sd2=equiv_array[2,2], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)","pilot_paper/elson_2020/analysis_code.R:237, 238",1,,,,,,
A3.1,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.1,inference criteria,"""and α = .05 (see Table 5)""",text,"TOSTtwo(m1=equiv_array[1,1], m2=equiv_array[2,1], sd1=equiv_array[1,2], sd2=equiv_array[2,2], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:238,1,,,,,,
A3.2,model specification,"""Therefore, for all main effects, we conducted two-tailed equivalence tests, with lower and upper bounds of Cohen’s d = −0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power)"" ",text,"TOSTtwo(m1=equiv_array[3,1], m2=equiv_array[4,1], sd1=equiv_array[3,2], sd2=equiv_array[4,2], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:239,1,,,,,,
A3.2,variable specification,"Segnificance to media psychology, significant vs. nonsignificant results",table,"#Significance to Media Psychology
TOSTtwo(m1=equiv_array[3,1], m2=equiv_array[4,1], sd1=equiv_array[3,2], sd2=equiv_array[4,2], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)","pilot_paper/elson_2020/analysis_code.R:237, 239",1,,,,,,
A3.2,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.2,variable specification,"Segnificance to media psychology, significant vs. nonsignificant results",table,"#Significance to Media Psychology
TOSTtwo(m1=equiv_array[3,1], m2=equiv_array[4,1], sd1=equiv_array[3,2], sd2=equiv_array[4,2], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)","pilot_paper/elson_2020/analysis_code.R:237, 239",1,,,,,,
A3.2,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.2,variable specification,"Segnificance to media psychology, significant vs. nonsignificant results",table,"#Significance to Media Psychology
TOSTtwo(m1=equiv_array[3,1], m2=equiv_array[4,1], sd1=equiv_array[3,2], sd2=equiv_array[4,2], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)","pilot_paper/elson_2020/analysis_code.R:237, 239",1,,,,,,
A3.2,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.2,inference criteria,"""and α = .05 (see Table 5)""",text,"TOSTtwo(m1=equiv_array[3,1], m2=equiv_array[4,1], sd1=equiv_array[3,2], sd2=equiv_array[4,2], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:239,1,,,,,,
A3.3,model specification,"""Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen’s d = −0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power)""",text,"TOSTtwo(m1=equiv_array[1,3], m2=equiv_array[2,3], sd1=equiv_array[1,4], sd2=equiv_array[2,4], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:242,1,,,,,,
A3.3,variable specification,"quality of writing, original study vs. replication",table,"#Quality of Writing
TOSTtwo(m1=equiv_array[1,3], m2=equiv_array[2,3], sd1=equiv_array[1,4], sd2=equiv_array[2,4], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)","pilot_paper/elson_2020/analysis_code.R:241, 242",1,,,,,,
A3.3,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.3,variable specification,"quality of writing, original study vs. replication",table,"#Quality of Writing
TOSTtwo(m1=equiv_array[1,3], m2=equiv_array[2,3], sd1=equiv_array[1,4], sd2=equiv_array[2,4], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)","pilot_paper/elson_2020/analysis_code.R:241, 242",1,,,,,,
A3.3,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.3,variable specification,"quality of writing, original study vs. replication",table,"#Quality of Writing
TOSTtwo(m1=equiv_array[1,3], m2=equiv_array[2,3], sd1=equiv_array[1,4], sd2=equiv_array[2,4], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)","pilot_paper/elson_2020/analysis_code.R:241, 242",1,,,,,,
A3.3,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.3,inference criteria,"""and α = .05 (see Table 5)""",text,"TOSTtwo(m1=equiv_array[1,3], m2=equiv_array[2,3], sd1=equiv_array[1,4], sd2=equiv_array[2,4], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:242,1,,,,,,
A3.4,model specification,"""Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen’s d = −0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power)""",text,"TOSTtwo(m1=equiv_array[3,3], m2=equiv_array[4,3], sd1=equiv_array[3,4], sd2=equiv_array[4,4], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:243,1,,,,,,
A3.4,variable specification,"quality of writing, significant vs. nonsignificant results",table,"#Quality of Writing TOSTtwo(m1=equiv_array[3,3], m2=equiv_array[4,3], sd1=equiv_array[3,4], sd2=equiv_array[4,4], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:241.243,1,,,,,,
A3.4,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.4,variable specification,"quality of writing, significant vs. nonsignificant results",table,"#Quality of Writing TOSTtwo(m1=equiv_array[3,3], m2=equiv_array[4,3], sd1=equiv_array[3,4], sd2=equiv_array[4,4], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:241.243,1,,,,,,
A3.4,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.4,variable specification,"quality of writing, significant vs. nonsignificant results",table,"#Quality of Writing TOSTtwo(m1=equiv_array[3,3], m2=equiv_array[4,3], sd1=equiv_array[3,4], sd2=equiv_array[4,4], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:241.243,1,,,,,,
A3.4,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.4,inference criteria,"""and α = .05 (see Table 5)""",text,"TOSTtwo(m1=equiv_array[3,3], m2=equiv_array[4,3], sd1=equiv_array[3,4], sd2=equiv_array[4,4], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:243,1,,,,,,
A3.5,model specification,"""Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen’s d = −0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power)""",text,"TOSTtwo(m1=equiv_array[1,5], m2=equiv_array[2,5], sd1=equiv_array[1,6], sd2=equiv_array[2,6], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:246,1,,,,,,
A3.5,variable specification,"sophistication of theory/conceptualization, original study vs. replication",table,"#Sophistication of Theory/Conceptualization TOSTtwo(m1=equiv_array[1,5], m2=equiv_array[2,5], sd1=equiv_array[1,6], sd2=equiv_array[2,6], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)","pilot_paper/elson_2020/analysis_code.R:245, 246",1,,,,,,
A3.5,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.5,variable specification,"sophistication of theory/conceptualization, original study vs. replication",table,"#Sophistication of Theory/Conceptualization TOSTtwo(m1=equiv_array[1,5], m2=equiv_array[2,5], sd1=equiv_array[1,6], sd2=equiv_array[2,6], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)","pilot_paper/elson_2020/analysis_code.R:245, 246",1,,,,,,
A3.5,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.5,variable specification,"sophistication of theory/conceptualization, original study vs. replication",table,"#Sophistication of Theory/Conceptualization TOSTtwo(m1=equiv_array[1,5], m2=equiv_array[2,5], sd1=equiv_array[1,6], sd2=equiv_array[2,6], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)","pilot_paper/elson_2020/analysis_code.R:245, 246",1,,,,,,
A3.5,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,,,,,,
A3.5,inference criteria,"""and α = .05 (see Table 5)""",text,"TOSTtwo(m1=equiv_array[1,5], m2=equiv_array[2,5], sd1=equiv_array[1,6], sd2=equiv_array[2,6], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:246,1,,,,,,
A3.6,model specification,"""Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen’s d = −0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power)""",text,"TOSTtwo(m1=equiv_array[3,5], m2=equiv_array[4,5], sd1=equiv_array[3,6], sd2=equiv_array[4,6], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",pilot_paper/elson_2020/analysis_code.R:247,1,Two-sided equivalence test comparing ratings of sophistication of theory between significant-results vs. nonsignificant-results conditions.,"“Given the number of tests, there was an inflated probability of false positives for a default criterion of Cronbach's α = .05. Therefore, for all main effects, we conducted two-tailed equivalence tests with lower and upper bounds of Cohen's d = -0.50 and +0.50 (which corresponded to our sensitivity analysis at 80% power) and α = .05 (see Table 5).”[...]“Table 5 .5 Summary of the Equivalence Tests for All Main Effects on the Dependent Variables[...]Sophistication of theory[...]Significant results (M = 6.06, SD = 2.20) vs.0.38 [-0.27, 1.03]±1.11-1.854124.80.033 nonsignificant results (M = 5.68, SD = 2.25)”",,"#Sophistication of Theory/Conceptualization
TOSTtwo(m1=equiv_array[1,5], m2=equiv_array[2,5], sd1=equiv_array[1,6], sd2=equiv_array[2,6], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,5], m2=equiv_array[4,5], sd1=equiv_array[3,6], sd2=equiv_array[4,6], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.6,variable specification,"Sophistication of Theory/Conceptualization, significant results vs. nonsignificant results",table,"#Sophistication of Theory/Conceptualization TOSTtwo(m1=equiv_array[3,5], m2=equiv_array[4,5], sd1=equiv_array[3,6], sd2=equiv_array[4,6], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
","pilot_paper/elson_2020/analysis_code.R:245, 247",1,Two-sided equivalence test comparing ratings of sophistication of theory between significant-results vs. nonsignificant-results conditions.,"“On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.”[...]“Significant results (M = 6.06, SD = 2.20) vs.0.38 [-0.27, 1.03]±1.11-1.854124.80.033 nonsignificant results (M = 5.68, SD = 2.25)”",,"mean(datafile$r_sophistication[datafile$c_significance==1]), 
  mean(datafile$r_sophistication[datafile$c_significance==2]), 
  sd(datafile$r_sophistication[datafile$c_significance==1]), 
  sd(datafile$r_sophistication[datafile$c_significance==2]),[...]TOSTtwo(m1=equiv_array[3,5], m2=equiv_array[4,5], sd1=equiv_array[3,6], sd2=equiv_array[4,6], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.6,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,Two-sided equivalence test comparing ratings of sophistication of theory between significant-results vs. nonsignificant-results conditions.,"On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.",,"#Descriptives: Sophistication of Theory/Conceptualization
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    sophistication_m = mean(r_sophistication, na.rm = TRUE),
    sophistication_sd = sd(r_sophistication, na.rm = TRUE),
    sophistication_med = median(r_sophistication, na.rm = TRUE),
    sophistication_min = min(r_sophistication, na.rm = TRUE),
    sophistication_max = max(r_sophistication, na.rm = TRUE)
  )
[...]
#Sophistication of Theory/Conceptualization
TOSTtwo(m1=equiv_array[1,5], m2=equiv_array[2,5], sd1=equiv_array[1,6], sd2=equiv_array[2,6], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,5], m2=equiv_array[4,5], sd1=equiv_array[3,6], sd2=equiv_array[4,6], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.6,variable specification,"Sophistication of Theory/Conceptualization, significant results vs. nonsignificant results",table,"#Sophistication of Theory/Conceptualization TOSTtwo(m1=equiv_array[3,5], m2=equiv_array[4,5], sd1=equiv_array[3,6], sd2=equiv_array[4,6], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
","pilot_paper/elson_2020/analysis_code.R:245, 247",1,Two-sided equivalence test comparing ratings of sophistication of theory between significant-results vs. nonsignificant-results conditions.,"“On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.”[...]“Significant results (M = 6.06, SD = 2.20) vs.0.38 [-0.27, 1.03]±1.11-1.854124.80.033 nonsignificant results (M = 5.68, SD = 2.25)”",,"mean(datafile$r_sophistication[datafile$c_significance==1]), 
  mean(datafile$r_sophistication[datafile$c_significance==2]), 
  sd(datafile$r_sophistication[datafile$c_significance==1]), 
  sd(datafile$r_sophistication[datafile$c_significance==2]),[...]TOSTtwo(m1=equiv_array[3,5], m2=equiv_array[4,5], sd1=equiv_array[3,6], sd2=equiv_array[4,6], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
A3.6,transformation,,,,pilot_paper/elson_2020/analysis_code.R,,Two-sided equivalence test comparing ratings of sophistication of theory between significant-results vs. nonsignificant-results conditions.,"On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.",,"#Descriptives: Sophistication of Theory/Conceptualization
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    sophistication_m = mean(r_sophistication, na.rm = TRUE),
    sophistication_sd = sd(r_sophistication, na.rm = TRUE),
    sophistication_med = median(r_sophistication, na.rm = TRUE),
    sophistication_min = min(r_sophistication, na.rm = TRUE),
    sophistication_max = max(r_sophistication, na.rm = TRUE)
  )
[...]
#Sophistication of Theory/Conceptualization
TOSTtwo(m1=equiv_array[1,5], m2=equiv_array[2,5], sd1=equiv_array[1,6], sd2=equiv_array[2,6], n1=n_orig, n2=n_rep, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)
TOSTtwo(m1=equiv_array[3,5], m2=equiv_array[4,5], sd1=equiv_array[3,6], sd2=equiv_array[4,6], n1=n_sig, n2=n_nonsig, low_eqbound_d=-0.5, high_eqbound_d=0.5, alpha = 0.05)",,1
