analysis_id,brief_description,dimension,paper_text,code_text,match_status,explanation,dimension_norm
14,Correlation between the rating of quality of writing and the rating of sophistication of theory.,Transformation Specification,"Evaluation. On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.[...]Zero-order correlations are reported in Table 3.","###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper describes the variables as single 0–10 ratings and does not report any additional transformation before computing zero-order correlations, and the code directly applies cor() to the raw rating columns without prior transformation. Thus, both implementations treat the variables as untransformed item scores for the correlation between quality of writing and sophistication of theory.",transform
14,Correlation between the rating of quality of writing and the rating of sophistication of theory.,Inference Specification,"The final sample of 127 reviewers provided 80% power to detect bivariate correlations greater than .245 2 (90% power for r > .282, and 95% power for r > .312 ).","pwr.r.test(n=127, sig.level = .05, power = .80)
pwr.r.test(n=127, sig.level = .05, power = .90)
pwr.r.test(n=127, sig.level = .05, power = .95)
[...]
###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper specifies the sensitivity (power and detectable effect sizes) for bivariate correlations with N = 127, and the code reproduces this via pwr.r.test with the same N, power levels, and implied correlation thresholds (using sig.level = .05), then computes the zero-order correlation matrix without additional inferential criteria. Since neither paper nor code introduce a different alpha threshold or decision rule for this specific correlation beyond the shared power analysis, the inference specifications align.",inference
15,Correlation between the rating of quality of writing and the rating of appropriateness of methods and design.,Model Specification,Zero-order correlations are reported in Table 3.[...]Table 3 .3Zero-Order Correlations,"###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper specifies that the relationship between the variables is examined using zero-order correlations, and the code implements this using the correlation function to compute zero-order correlations among the relevant variables. Thus, the statistical model type (correlation) is consistent between paper and code.",model
15,Correlation between the rating of quality of writing and the rating of appropriateness of methods and design.,Variable Specification,"Evaluation. On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.[...]Table 3 .3Zero-Order CorrelationsVariable123456781. Self-reported familiarity with the topic-2. Significance to media psychology.249-3. Quality of writing.138.455-4. Sophistication of theory.186.511.539-5. Appropriateness of methods and design.123.465.448.484-","#Descriptives: Quality of Writing
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    writing_m = mean(r_writing, na.rm = TRUE),
    writing_sd = sd(r_writing, na.rm = TRUE),
    writing_med = median(r_writing, na.rm = TRUE),
    writing_min = min(r_writing, na.rm = TRUE),
    writing_max = max(r_writing, na.rm = TRUE)
  )

#Descriptives: Appropriateness of Methods/Research Design
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    methods_m = mean(r_methods, na.rm = TRUE),
    methods_sd = sd(r_methods, na.rm = TRUE),
    methods_med = median(r_methods, na.rm = TRUE),
    methods_min = min(r_methods, na.rm = TRUE),
    methods_max = max(r_methods, na.rm = TRUE)
  )
[...]
###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"In the paper, the zero-order correlation is defined between the evaluation ratings ""quality of the writing"" and ""appropriateness of the methods and research design""; in the code, these same rating variables appear as r_writing and r_methods and are jointly included in the zero-order correlation matrix. Because zero-order correlations are symmetric and no predictor/outcome distinction is made in either source, the variable specifications align.",variables
15,Correlation between the rating of quality of writing and the rating of appropriateness of methods and design.,Transformation Specification,"Evaluation. On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.[...]Zero-order correlations are reported in Table 3.","###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper describes using the raw 0–10 ratings on the evaluation criteria and then computing zero-order correlations, and the code directly applies cor() to the corresponding raw variables without any prior transformation. Since neither source indicates additional transformations (e.g., averaging, rescaling, trimming) specific to the correlation between quality of writing and appropriateness of methods/design, the transformation specifications align.",transform
15,Correlation between the rating of quality of writing and the rating of appropriateness of methods and design.,Inference Specification,"The final sample of 127 reviewers provided 80% power to detect bivariate correlations greater than .245 2 (90% power for r > .282, and 95% power for r > .312 ).","pwr.r.test(n=127, sig.level = .05, power = .80)
pwr.r.test(n=127, sig.level = .05, power = .90)
pwr.r.test(n=127, sig.level = .05, power = .95)
[...]
cor(datafile[,5:11])",match,"Both the paper and the code specify a sensitivity/power analysis for bivariate correlations with n = 127 (using α = .05 in the code) and then compute zero-order correlations without any further inferential thresholds or CI rules. Thus, the inference specification for this correlation—being limited to a power description without a detailed significance or CI decision rule—matches between paper and code.",inference
16,Correlation between the rating of quality of writing and the rating of the presentation and discussion of results.,Model Specification,Zero-order correlations are reported in Table 3.[...]Table 3 .3Zero-Order Correlations,"###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper describes this analysis as a set of zero-order correlations, and the code implements it by computing a correlation matrix via cor(datafile[,5:11]) with no covariates. Both therefore use the same statistical model specification: zero-order (bivariate) correlations.",model
16,Correlation between the rating of quality of writing and the rating of the presentation and discussion of results.,Variable Specification,"“On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.”[...]“Table 3 .3 Zero-Order Correlations”[...]“Quality of writing”[...]“Presentation and discussion of results”","#Descriptives: Quality of Writing
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    writing_m = mean(r_writing, na.rm = TRUE),
    writing_sd = sd(r_writing, na.rm = TRUE),
    writing_med = median(r_writing, na.rm = TRUE),
    writing_min = min(r_writing, na.rm = TRUE),
    writing_max = max(r_writing, na.rm = TRUE)
  )[...]#Descriptives: Quality of Presentation and Discussion of Results
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    presentation_m = mean(r_presentation, na.rm = TRUE),
    presentation_sd = sd(r_presentation, na.rm = TRUE),
    presentation_med = median(r_presentation, na.rm = TRUE),
    presentation_min = min(r_presentation, na.rm = TRUE),
    presentation_max = max(r_presentation, na.rm = TRUE)
  )[...]###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper’s correlation analysis uses the criteria ratings “quality of the writing” and “quality of the presentation and discussion of results,” and the code computes a zero-order correlation matrix over the variables that include r_writing and r_presentation, which are explicitly defined as those same criteria. Because both sources use the same two variables as symmetric correlates (with no predictor/outcome distinction), the variable specifications align.",variables
16,Correlation between the rating of quality of writing and the rating of the presentation and discussion of results.,Transformation Specification,"“On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.” [...] “Zero-order correlations are reported in Table 3.”","###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper describes zero-order correlations on the raw 0–10 criterion ratings and does not report any transformation of those ratings prior to correlation, and the code computes correlations directly on the corresponding columns of the data file without transforming them. Thus, both implementations use untransformed item-level scores for this correlation.",transform
16,Correlation between the rating of quality of writing and the rating of the presentation and discussion of results.,Inference Specification,"“Zero-order correlations are reported in Table 3.” [...] “The final sample of 127 reviewers provided 80% power to detect bivariate correlations greater than .245 2 (90% power for r > .282, and 95% power for r > .312 ).”","pwr.r.test(n=127, sig.level = .05, power = .80)
pwr.r.test(n=127, sig.level = .05, power = .90)
pwr.r.test(n=127, sig.level = .05, power = .95)
[...] 
cor(datafile[,5:11])",match,"Both the paper and code specify sensitivity/power analyses for correlations (using power levels of .80/.90/.95 at a .05 significance level) and then report zero-order correlations without adding any further inferential criterion for this specific correlation. Thus, the inference specification for the correlation between quality of writing and presentation/discussion of results is aligned across paper and code.",inference
17,Correlation between the rating of quality of writing and the overall recommendation.,Model Specification,“Zero-order correlations are reported in Table 3.”[...]“Table 3 .3Zero-Order Correlations”,"###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper describes this analysis as using zero-order correlations, and the code implements a zero-order correlation matrix via the cor() function on the relevant variables. Thus, the model specification (zero-order/Pearson correlation) is consistent between paper and code.",model
17,Correlation between the rating of quality of writing and the overall recommendation.,Variable Specification,"“On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.”[...]“Additionally, reviewers were asked to provide an overall recommendation on a scale from 0, definitely reject, to 10, definitely accept.”[...]“Table 3 .3Zero-Order CorrelationsVariable123456781. Self-reported familiarity with the topic-2. Significance to media psychology.249-3. Quality of writing.138.455-4. Sophistication of theory.186.511.539-5. Appropriateness of methods and design.123.465.448.484-6. Presentation and discussion of results.057.539.512.567.500-7. Overall recommendation.196.702.496.616.731.676-8. Total score.204.761.617.722.777.757.972-”","“###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])
”[...]“#Descriptives: Quality of Writing
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    writing_m = mean(r_writing, na.rm = TRUE),
    writing_sd = sd(r_writing, na.rm = TRUE),
    writing_med = median(r_writing, na.rm = TRUE),
    writing_min = min(r_writing, na.rm = TRUE),
    writing_max = max(r_writing, na.rm = TRUE)
  )
”[...]“#Descriptives: Overall Recommendation
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    overall_m = mean(r_overall, na.rm = TRUE),
    overall_sd = sd(r_overall, na.rm = TRUE),
    overall_med = median(r_overall, na.rm = TRUE),
    overall_min = min(r_overall, na.rm = TRUE),
    overall_max = max(r_overall, na.rm = TRUE)
  )”",match,"The paper specifies the variables in the zero-order correlation as “quality of the writing” and “overall recommendation,” and the code computes a zero-order correlation matrix over review variables including r_writing and r_overall, which are defined as “Quality of Writing” and “Overall Recommendation.” No differing roles (e.g., predictor vs. outcome) are assigned in either source, so the variable specification matches.",variables
17,Correlation between the rating of quality of writing and the overall recommendation.,Transformation Specification,“Zero-order correlations are reported in Table 3.” [...] “Table 3 .3 Zero-Order Correlations[...] 3. Quality of writing [...] 7. Overall recommendation.”,"###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"Both the paper and the code explicitly describe this as a zero-order correlation and use the raw rating variables directly, with no additional transformations reported for the quality of writing or overall recommendation scores. Thus the transformation specifications (i.e., absence of preprocessing beyond selecting variables) align.",transform
17,Correlation between the rating of quality of writing and the overall recommendation.,Inference Specification,"Zero-order correlations are reported in Table 3.[...]The final sample of 127 reviewers provided 80% power to detect bivariate correlations greater than .245 2 (90% power for r > .282, and 95% power for r > .312 ).","pwr.r.test(n=127, sig.level = .05, power = .80)
pwr.r.test(n=127, sig.level = .05, power = .90)
pwr.r.test(n=127, sig.level = .05, power = .95)
[...]
cor(datafile[,5:11])",match,"Both paper and code specify sensitivity analyses for bivariate correlations with n = 127 at α = .05 and powers of .80, .90, and .95, and then compute the zero-order correlation matrix without additional inferential thresholds. Thus, the inferential specification for this correlation (power-based sensitivity at α = .05 and descriptive reporting of the correlation) is consistent between paper and code.",inference
18,Correlation between the rating of quality of writing and the computed total score.,Model Specification,Zero-order correlations are reported in Table 3.[...]Table 3 .3Zero-Order Correlations,"###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper describes this analysis as ""Zero-Order Correlations,"" and the code implements it using the base R correlation function (cor) to compute a zero-order correlation matrix including quality of writing and total score. Thus, the model specification (a zero-order/bivariate correlation) is consistent between paper and code.",model
18,Correlation between the rating of quality of writing and the computed total score.,Variable Specification,"“Evaluation. On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.” [...] “Total score. For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%).” [...] “Zero-order correlations are reported in Table 3.” [...] “Table 3 .3 Zero-Order Correlations Variable 1 2 3 4 5 6 7 8 1. Self-reported familiarity with the topic - 2. Significance to media psychology .249 - 3. Quality of writing .138 .455 - [...] 7. Overall recommendation .196 .702 .496 .616 .731 .676 - 8. Total score .204 .761 .617 .722 .777 .757 .972 -”","#Descriptives: Quality of Writing
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    writing_m = mean(r_writing, na.rm = TRUE),
    writing_sd = sd(r_writing, na.rm = TRUE),
    writing_med = median(r_writing, na.rm = TRUE),
    writing_min = min(r_writing, na.rm = TRUE),
    writing_max = max(r_writing, na.rm = TRUE)
  )
[...]
#Descriptives: Total
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    total_m = mean(r_total, na.rm = TRUE),
    total_sd = sd(r_total, na.rm = TRUE),
    total_med = median(r_total, na.rm = TRUE),
    total_min = min(r_total, na.rm = TRUE),
    total_max = max(r_total, na.rm = TRUE)
  )
[...]
###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"In the paper, the analysis is a zero-order correlation between the rating of “quality of the writing” and the computed “total score,” and in the code these correspond to the variables r_writing and r_total included together in the zero-order correlation matrix. Neither source designates a predictor or outcome; both treat the variables symmetrically as bivariate correlates.",variables
18,Correlation between the rating of quality of writing and the computed total score.,Transformation Specification,"Evaluation. On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.[...]Total score. For each review, a total score was computed from the evaluation ratings (each worth 10%) and the recommendation rating (worth 50%). In the case of regularly submitted abstracts, the mean of total scores across the assigned reviewers ultimately determined acceptance to the conference.","datafile = read.csv(""data.csv"")
[...]
#Descriptives: Quality of Writing
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    writing_m = mean(r_writing, na.rm = TRUE),
    writing_sd = sd(r_writing, na.rm = TRUE),
    writing_med = median(r_writing, na.rm = TRUE),
    writing_min = min(r_writing, na.rm = TRUE),
    writing_max = max(r_writing, na.rm = TRUE)
  )
[...]
#Descriptives: Total
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    total_m = mean(r_total, na.rm = TRUE),
    total_sd = sd(r_total, na.rm = TRUE),
    total_med = median(r_total, na.rm = TRUE),
    total_min = min(r_total, na.rm = TRUE),
    total_max = max(r_total, na.rm = TRUE)
  )
[...]
###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",unknown,"The paper explicitly defines the total score as a weighted composite of evaluation ratings and recommendation, whereas the code simply reads in precomputed variables r_writing and r_total and uses them directly in a correlation without showing how r_total was constructed. Because the transformation from raw item ratings to total score is not implemented or documented in this script, it is impossible to verify that the same weighting scheme was used in the code.",transform
18,Correlation between the rating of quality of writing and the computed total score.,Inference Specification,"“Zero-order correlations are reported in Table 3.” [...] “The final sample of 127 reviewers provided 80% power to detect bivariate correlations greater than .245 2 (90% power for r > .282, and 95% power for r > .312 ).”","pwr.r.test(n=127, sig.level = .05, power = .80)
pwr.r.test(n=127, sig.level = .05, power = .90)
pwr.r.test(n=127, sig.level = .05, power = .95)
[...]
###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,Both paper and code handle this as a zero-order correlation accompanied by sensitivity/power calculations (using α = .05 in the code) and do not impose an explicit significance decision rule for this specific correlation. The inferential context (power for bivariate correlations with n = 127) is aligned between text and code.,inference
19,Correlation between the rating of sophistication of theory and conceptualization and the rating of appropriateness of methods and design.,Model Specification,“Zero-order correlations are reported in Table 3.”[...]“Table 3 .3 Zero-Order Correlations”[...]“4. Sophistication of theory.”[...]“5. Appropriateness of methods and design.”,"###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper specifies that this analysis uses zero-order correlations, and the code computes a zero-order correlation matrix using the `cor()` function for the relevant variables. Thus, the statistical model type (zero-order/Pearson correlation) is the same in both the paper and the code.",model
19,Correlation between the rating of sophistication of theory and conceptualization and the rating of appropriateness of methods and design.,Variable Specification,"Evaluation. On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.[...]Table 3 .3Zero-Order CorrelationsVariable123456781. Self-reported familiarity with the topic-2. Significance to media psychology.249-3. Quality of writing.138.455-4. Sophistication of theory.186.511.539-5. Appropriateness of methods and design.123.465.448.484-","#Descriptives: Sophistication of Theory/Conceptualization
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    sophistication_m = mean(r_sophistication, na.rm = TRUE),
    sophistication_sd = sd(r_sophistication, na.rm = TRUE),
    sophistication_med = median(r_sophistication, na.rm = TRUE),
    sophistication_min = min(r_sophistication, na.rm = TRUE),
    sophistication_max = max(r_sophistication, na.rm = TRUE)
  )

#Descriptives: Appropriateness of Methods/Research Design
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    methods_m = mean(r_methods, na.rm = TRUE),
    methods_sd = sd(r_methods, na.rm = TRUE),
    methods_med = median(r_methods, na.rm = TRUE),
    methods_min = min(r_methods, na.rm = TRUE),
    methods_max = max(r_methods, na.rm = TRUE)
  )

###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper’s correlation matrix includes the variables “sophistication of the theory and conceptualization” and “appropriateness of the methods and research design”, and the code computes zero-order correlations over the corresponding columns r_sophistication and r_methods. Both treat these as peer-review evaluation criteria without assigning asymmetric predictor/outcome roles, so the variable specification matches.",variables
19,Correlation between the rating of sophistication of theory and conceptualization and the rating of appropriateness of methods and design.,Transformation Specification,"Evaluation. On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.[...]Zero-order correlations are reported in Table 3.[...]Table 3 .3Zero-Order CorrelationsVariable123456781. Self-reported familiarity with the topic-2. Significance to media psychology.249-3. Quality of writing.138.455-4. Sophistication of theory.186.511.539-5. Appropriateness of methods and design.123.465.448.484-","###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper describes zero-order correlations computed directly on the 0–10 ratings for each criterion without mentioning any transformations, and the code similarly applies cor() to the raw columns of the data frame without any recoding or aggregation. Thus, both implementations treat the sophistication and methods ratings as untransformed raw scores for the correlation analysis.",transform
19,Correlation between the rating of sophistication of theory and conceptualization and the rating of appropriateness of methods and design.,Inference Specification,"Zero-order correlations are reported in Table 3.[...]The final sample of 127 reviewers provided 80% power to detect bivariate correlations greater than .245 2 (90% power for r > .282, and 95% power for r > .312 ).","pwr.r.test(n=127, sig.level = .05, power = .80)
pwr.r.test(n=127, sig.level = .05, power = .90)
pwr.r.test(n=127, sig.level = .05, power = .95)[...]cor(datafile[,5:11])",match,"Both the paper and code treat the zero-order correlations descriptively and specify sensitivity/power for bivariate correlations based on n = 127, with the code implementing this via pwr.r.test at sig.level = .05. No hypothesis tests or additional decision rules specific to this particular correlation are applied in either source.",inference
20,Correlation between the rating of sophistication of theory and conceptualization and the rating of the presentation and discussion of results.,Model Specification,Zero-order correlations are reported in Table 3.[...]Table 3 .3Zero-Order Correlations,"###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper describes this analysis as a zero-order correlation, and the code implements it using the cor() function within a section labeled ""ZERO ORDER CORRELATIONS."" Both thus use a zero-order correlation (correlation matrix) as the model specification.",model
20,Correlation between the rating of sophistication of theory and conceptualization and the rating of the presentation and discussion of results.,Variable Specification,"On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.[...]Table 3 .3Zero-Order CorrelationsVariable123456781. Self-reported familiarity with the topic-2. Significance to media psychology.249-3. Quality of writing.138.455-4. Sophistication of theory.186.511.539-5. Appropriateness of methods and design.123.465.448.484-6. Presentation and discussion of results.057.539.512.567.500-7. Overall recommendation.196.702.496.616.731.676-8. Total score.204.761.617.722.777.757.972-","#Descriptives: Sophistication of Theory/Conceptualization
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    sophistication_m = mean(r_sophistication, na.rm = TRUE),
    sophistication_sd = sd(r_sophistication, na.rm = TRUE),
    sophistication_med = median(r_sophistication, na.rm = TRUE),
    sophistication_min = min(r_sophistication, na.rm = TRUE),
    sophistication_max = max(r_sophistication, na.rm = TRUE)
  )

#Descriptives: Quality of Presentation and Discussion of Results
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    presentation_m = mean(r_presentation, na.rm = TRUE),
    presentation_sd = sd(r_presentation, na.rm = TRUE),
    presentation_med = median(r_presentation, na.rm = TRUE),
    presentation_min = min(r_presentation, na.rm = TRUE),
    presentation_max = max(r_presentation, na.rm = TRUE)
  )
[...]
###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper’s zero-order correlation uses the reviewer ratings for ‘sophistication of the theory and conceptualization’ and ‘quality of the presentation and discussion of results’, and the code computes a zero-order correlation matrix over the corresponding variables r_sophistication and r_presentation. Neither source assigns predictor or outcome roles, treating both as symmetric correlates.",variables
20,Correlation between the rating of sophistication of theory and conceptualization and the rating of the presentation and discussion of results.,Transformation Specification,"On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.[...]Zero-order correlations are reported in Table 3.","datafile = read.csv(""data.csv"")[...]
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper describes using single-item 0–10 ratings for each criterion and then directly computing zero-order correlations, without mentioning any transformations or aggregations. The code likewise reads the raw data and applies cor() directly to the relevant rating columns without any recoding, scaling, or aggregation, so the transformation specifications align.",transform
20,Correlation between the rating of sophistication of theory and conceptualization and the rating of the presentation and discussion of results.,Inference Specification,"The final sample of 127 reviewers provided 80% power to detect bivariate correlations greater than .245 2 (90% power for r > .282, and 95% power for r > .312 ).","pwr.r.test(n=127, sig.level = .05, power = .80)
pwr.r.test(n=127, sig.level = .05, power = .90)
pwr.r.test(n=127, sig.level = .05, power = .95)
[...]
###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper’s inference specification for correlations is a sensitivity/power statement, and the code implements the same power analysis (n = 127, powers .80/.90/.95 at α = .05) and then computes the zero-order correlations without additional inferential criteria, so the implemented inference strategy matches what is described. No alpha or CI rule is specified in the paper for testing this particular correlation, and none is applied in the code beyond the shared power calculation.",inference
21,Correlation between the rating of sophistication of theory and conceptualization and the overall recommendation.,Model Specification,“Zero-order correlations are reported in Table 3.” [...] “Table 3 .3Zero-Order Correlations”,"###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper describes the analysis as zero-order correlations, and the code implements this using a correlation matrix (`cor`) over the relevant variables. Both specify the same model type: a zero-order (bivariate) correlation analysis.",model
21,Correlation between the rating of sophistication of theory and conceptualization and the overall recommendation.,Variable Specification,"“On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.”[...]“Additionally, reviewers were asked to provide an overall recommendation on a scale from 0, definitely reject, to 10, definitely accept.”[...]“Table 3 .3Zero-Order Correlations[...]4. Sophistication of theory.[...]7. Overall recommendation.”","#Descriptives: Sophistication of Theory/Conceptualization
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    sophistication_m = mean(r_sophistication, na.rm = TRUE),
    sophistication_sd = sd(r_sophistication, na.rm = TRUE),
    sophistication_med = median(r_sophistication, na.rm = TRUE),
    sophistication_min = min(r_sophistication, na.rm = TRUE),
    sophistication_max = max(r_sophistication, na.rm = TRUE)
  )[...]#Descriptives: Overall Recommendation
group_by(datafile, c_originality, c_significance) %>%
  summarise(
    count = n(),
    overall_m = mean(r_overall, na.rm = TRUE),
    overall_sd = sd(r_overall, na.rm = TRUE),
    overall_med = median(r_overall, na.rm = TRUE),
    overall_min = min(r_overall, na.rm = TRUE),
    overall_max = max(r_overall, na.rm = TRUE)
  )[...]###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"The paper correlates the rating of “sophistication of the theory and conceptualization” with the “overall recommendation” in its zero-order correlation matrix, and the code computes a zero-order correlation matrix over the set of reviewer-rating variables that includes r_sophistication and r_overall. No additional variables are treated as predictors or controls in either case, so the variable specification aligns.",variables
21,Correlation between the rating of sophistication of theory and conceptualization and the overall recommendation.,Transformation Specification,"Evaluation. On a scale from 0 to 10, in 2-point steps (0,2,4,6,8,10), each abstract was evaluated on the following five criteria: significance to media psychology, quality of the writing, sophistication of the theory and conceptualization, appropriateness of the methods and research design, and quality of the presentation and discussion of results.[...]Recommendation. Additionally, reviewers were asked to provide an overall recommendation on a scale from 0, definitely reject, to 10, definitely accept.","###########################
# ZERO ORDER CORRELATIONS #
###########################
# NOTE: Self-reported familiarity not included in shareable file
cor(datafile[,5:11])",match,"Both the paper and the code use the raw rating scales for 'sophistication of the theory and conceptualization' and 'overall recommendation' without describing or implementing any additional data transformations prior to computing the zero-order correlations. Thus, the transformation specifications (i.e., absence of transformations beyond using the original item scores) are aligned.",transform
