analysis_id,dimension,human_manuscript_content,human_manuscript_location,human_code_content,human_code_location,human_match_judgement,codebot_brief_description,codebot_manuscript_content,codebot_manuscript_location,codebot_code_content,codebot_code_location,codebot_match_judgement
A8,variable specification,"""For negative affect, people who saw the anchor-items before (M = 1.81, SD = 0.79) had statistically nonsignificant differences in Time 2 scores compared to people who saw the anchor-items after""",text,"t.test(data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor Before""], 
  data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor After""])
[...]
cohen.d(data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor Before""],
        data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor After""],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":551-552; 555-559",1,"Welch independent-samples t-test comparing Time 2 mean negative affect PANAS scores between participants who saw the anchor items before versus after the PANAS, using the full sample.","""For negative affect, people who saw the anchor-items before (M = 1.81, SD = 0.79) had statistically nonsignificant differences in Time 2 scores compared to people who saw the anchor-items after (M = 1.80, SD = 0.77), t(896.97) = 0.11, p = .910, mean difference = 0.01, CI 95%[-0.10, 0.11], d = 0.01, CI 95%[-0.12, 0.14]-this difference was centred almost exactly on zero.""[...]""I also conducted t-tests on the Time 2 ratings and on the change scores, without subcategorizing participants based on their anchor-responses.""[...]""For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect.""",,"data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset', 
  'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid', 
  'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE)
[...]
t.test(data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor Before""], 
  data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor After""])",,1
A8,transformation ,,,,,,"Welch independent-samples t-test comparing Time 2 mean negative affect PANAS scores between participants who saw the anchor items before versus after the PANAS, using the full sample.","“For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect.”[...]“I excluded participants for (i) having missing responses on any measures or (ii) giving the same response to all items across the three measures in either the first or second survey. The participants with missing responses had no data for any of the PANAS items at all, and giving the same response to all items indicates inattentive or unthoughtful responses. The final dataset for this paper consisted of 903 participants who completed the PANAS on both Time 1 and Time 2.”[...]“I also conducted t-tests on the Time 2 ratings and on the change scores, without subcategorizing participants based on their anchor-responses.”",,"data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset', 
  'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid', 
  'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE)
[...]
t.test(data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor Before""], 
  data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor After""])",,1
A8,variable specification,"""For negative affect, people who saw the anchor-items before (M = 1.81, SD = 0.79) had statistically nonsignificant differences in Time 2 scores compared to people who saw the anchor-items after""",text,"data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset', 
  'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid', 
  'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE)
[...] t.test(data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor Before""], 
  data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor After""])
[...]
cohen.d(data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor Before""],
        data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor After""],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":72-74; 551-552; 555-559",1,"Welch independent-samples t-test comparing Time 2 mean negative affect PANAS scores between participants who saw the anchor items before versus after the PANAS, using the full sample.","""For negative affect, people who saw the anchor-items before (M = 1.81, SD = 0.79) had statistically nonsignificant differences in Time 2 scores compared to people who saw the anchor-items after (M = 1.80, SD = 0.77), t(896.97) = 0.11, p = .910, mean difference = 0.01, CI 95%[-0.10, 0.11], d = 0.01, CI 95%[-0.12, 0.14]-this difference was centred almost exactly on zero.""[...]""I also conducted t-tests on the Time 2 ratings and on the change scores, without subcategorizing participants based on their anchor-responses.""[...]""For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect.""",,"data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset', 
  'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid', 
  'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE)
[...]
t.test(data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor Before""], 
  data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor After""])",,1
A8,transformation ,"For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect.",text,"data$PANAS_PA_D2mean = rowMeans(data[ , c('PANASD2_1_Attentive', 'PANASD2_2_Interested', 
  'PANASD2_3_Alert', 'PANASD2_4_Excited', 'PANASD2_5_Enthusiastic', 'PANASD2_6_Inspired', 
  'PANASD2_7_Proud', 'PANASD2_8_Determined', 'PANASD2_9_Strong', 'PANASD2_10_Active')], na.rm=TRUE)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":72-74",1,"Welch independent-samples t-test comparing Time 2 mean negative affect PANAS scores between participants who saw the anchor items before versus after the PANAS, using the full sample.","“For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect.”[...]“I excluded participants for (i) having missing responses on any measures or (ii) giving the same response to all items across the three measures in either the first or second survey. The participants with missing responses had no data for any of the PANAS items at all, and giving the same response to all items indicates inattentive or unthoughtful responses. The final dataset for this paper consisted of 903 participants who completed the PANAS on both Time 1 and Time 2.”[...]“I also conducted t-tests on the Time 2 ratings and on the change scores, without subcategorizing participants based on their anchor-responses.”",,"data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset', 
  'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid', 
  'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE)
[...]
t.test(data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor Before""], 
  data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor After""])",,1
A8,inference criteria,"t(896.97) = 0.11, p = .910, mean difference = 0.01, CI 95%[-0.10, 0.11], d = 0.01, CI 95%[-0.12, 0.14]",text,"t.test(data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor Before""], 
  data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor After""])
[...]
cohen.d(data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor Before""],
        data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor After""],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":551-552; 555-559",1,"Welch independent-samples t-test comparing Time 2 mean negative affect PANAS scores between participants who saw the anchor items before versus after the PANAS, using the full sample.","""In the analyses I used Welch's independent samples t-tests.""[...]""For negative affect, people who saw the anchor-items before (M = 1.81, SD = 0.79) had statistically nonsignificant differences in Time 2 scores compared to people who saw the anchor-items after (M = 1.80, SD = 0.77), t(896.97) = 0.11, p = .910, mean difference = 0.01, CI 95%[-0.10, 0.11], d = 0.01, CI 95%[-0.12, 0.14]-this difference was centred almost exactly on zero.""[...]""Indeed, all of the observed raw and standardized effect sizes were tiny. Moreover, based on the above confidence intervals, if the anchor-position does affect the change scores (and thus the smallest subjectively experience difference) or people's ratings at Time 2, then the effect size for how much it matters is likely to be smaller than d = 0.20.""",,"#### comparing before vs after groups on PA and NA at Time 2 and change scores ####
t.test(data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor Before""], 
  data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor After""])
sd(data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor Before""])
sd(data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor After""])
cohen.d(data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor Before""],
        data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor After""],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)


t.test(data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor Before""], 
  data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor After""])
sd(data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor Before""])
sd(data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor After""])
cohen.d(data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor Before""],
        data$PANAS_NA_D2mean[data$Anchor.Position==""Anchor After""],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)",,1
A9,model specification,"I also conducted t-tests on the Time 2 ratings and on the change scores, without subcategorizing participants based on their anchor-responses. [...]d = 0.07.",text,"t.test(data$PA_change[data$Anchor.Position==""Anchor Before""], 
  data$PA_change[data$Anchor.Position==""Anchor After""]) […] cohen.d(data$PA_change[data$Anchor.Position==""Anchor Before""],
        data$PA_change[data$Anchor.Position==""Anchor After""],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":561-562; 565-569",1,"Welch independent-samples t-test comparing positive affect change scores (Time 2 – Time 1) between participants who saw the anchor items before versus after the PANAS, using the full sample.","In the analyses I used Welch's independent samples t-tests.[...]Similarly, change scores in positive affect for people who saw the anchor items before the PANAS (M = 0.02, SD = 0.70) were not statistically significantly different from change scores for people who saw the anchor items after (M = -0.04, SD = 0.78), t(898.40) = 1.07, p = .283, mean difference = 0.02, CI 95%[-0.04, 0.15], d = 0.07, CI 95% [-0.06, 0.20].",,"t.test(data$PA_change[data$Anchor.Position==""Anchor Before""], 
  data$PA_change[data$Anchor.Position==""Anchor After""])",,1
A9,variable specification,"Similarly, change scores in positive affect for people who saw the anchor items before the PANAS (M = 0.02, SD = 0.70)",text,"t.test(data$PA_change[data$Anchor.Position==""Anchor Before""], 
  data$PA_change[data$Anchor.Position==""Anchor After""]) […] cohen.d(data$PA_change[data$Anchor.Position==""Anchor Before""],
        data$PA_change[data$Anchor.Position==""Anchor After""],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":561-562; 565-570",1,"Welch independent-samples t-test comparing positive affect change scores (Time 2 – Time 1) between participants who saw the anchor items before versus after the PANAS, using the full sample.","“Similarly, change scores in positive affect for people who saw the anchor items before the PANAS (M = 0.02, SD = 0.70) were not statistically significantly different from change scores for people who saw the anchor items after (M = -0.04, SD = 0.78), t(898.40) = 1.07, p = .283, mean difference = 0.02, CI 95%[-0.04, 0.15], d = 0.07, CI 95% [-0.06, 0.20].”[...]“I also conducted t-tests on the Time 2 ratings and on the change scores, without subcategorizing participants based on their anchor-responses.”",,"data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean
...
#### comparing before vs after groups on PA and NA at Time 2 and change scores ####
t.test(data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor Before""], 
  data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor After""])
...
t.test(data$PA_change[data$Anchor.Position==""Anchor Before""], 
  data$PA_change[data$Anchor.Position==""Anchor After""])",,1
A9,transformation ,,,,,,"Welch independent-samples t-test comparing positive affect change scores (Time 2 – Time 1) between participants who saw the anchor items before versus after the PANAS, using the full sample.","“For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect.”[...]“To calculate each participant's change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2. I did the same to calculate the change scores for negative affect.”[...]“I excluded participants for (i) having missing responses on any measures or (ii) giving the same response to all items across the three measures in either the first or second survey. [...] The final dataset for this paper consisted of 903 participants who completed the PANAS on both Time 1 and Time 2.”[...]“To further examine any potential differences between Note.Total N = 903. Change Score = Average Change Score. Before = anchor-item presented before the PANAS. After = anchor-item presented after the PANAS. T1 = Time 1. T2 = Time 2.Sometimes, the difference in means and standard deviations presented for T1 and T2 do not exactly match with the presented mean difference because they are rounded to the nearest 2 decimals. Note.Total N = 903. Change Score = Average Change Score. Before = anchor-item presented before the PANAS. After = anchor-item presented after the PANAS. T1 = Time 1. T2 = Time 2.Sometimes, the difference in means and standard deviations presented for T1 and T2 do not exactly match with the presented mean difference because they are rounded to the nearest 2 decimals. people who saw the anchor before vs after the Time 2 measurement, I also conducted t-tests on the Time 2 ratings and on the change scores, without subcategorizing participants based on their anchor-responses.”",,"data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested', 
  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired', 
  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)

data$PANAS_PA_D2mean = rowMeans(data[ , c('PANASD2_1_Attentive', 'PANASD2_2_Interested', 
  'PANASD2_3_Alert', 'PANASD2_4_Excited', 'PANASD2_5_Enthusiastic', 'PANASD2_6_Inspired', 
  'PANASD2_7_Proud', 'PANASD2_8_Determined', 'PANASD2_9_Strong', 'PANASD2_10_Active')], na.rm=TRUE)

## each person's change score for PA and NA from D1 to D2
data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean[...]#### comparing before vs after groups on PA and NA at Time 2 and change scores ####
t.test(data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor Before""], 
  data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor After""])
[...]
t.test(data$PA_change[data$Anchor.Position==""Anchor Before""], 
  data$PA_change[data$Anchor.Position==""Anchor After""])",,
A9,variable specification,"Similarly, change scores in positive affect for people who saw the anchor items before the PANAS (M = 0.02, SD = 0.70)",text,"data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested', 
  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired', 
  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)

data$PANAS_PA_D2mean = rowMeans(data[ , c('PANASD2_1_Attentive', 'PANASD2_2_Interested', 
  'PANASD2_3_Alert', 'PANASD2_4_Excited', 'PANASD2_5_Enthusiastic', 'PANASD2_6_Inspired', 
  'PANASD2_7_Proud', 'PANASD2_8_Determined', 'PANASD2_9_Strong', 'PANASD2_10_Active')], na.rm=TRUE) [...] data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean [...] t.test(data$PA_change[data$Anchor.Position==""Anchor Before""], 
  data$PA_change[data$Anchor.Position==""Anchor After""]) […] cohen.d(data$PA_change[data$Anchor.Position==""Anchor Before""],
        data$PA_change[data$Anchor.Position==""Anchor After""],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":60-66; 77; 561-562; 565-569",1,"Welch independent-samples t-test comparing positive affect change scores (Time 2 – Time 1) between participants who saw the anchor items before versus after the PANAS, using the full sample.","“Similarly, change scores in positive affect for people who saw the anchor items before the PANAS (M = 0.02, SD = 0.70) were not statistically significantly different from change scores for people who saw the anchor items after (M = -0.04, SD = 0.78), t(898.40) = 1.07, p = .283, mean difference = 0.02, CI 95%[-0.04, 0.15], d = 0.07, CI 95% [-0.06, 0.20].”[...]“I also conducted t-tests on the Time 2 ratings and on the change scores, without subcategorizing participants based on their anchor-responses.”",,"data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean
...
#### comparing before vs after groups on PA and NA at Time 2 and change scores ####
t.test(data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor Before""], 
  data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor After""])
...
t.test(data$PA_change[data$Anchor.Position==""Anchor Before""], 
  data$PA_change[data$Anchor.Position==""Anchor After""])",,1
A9,transformation ,"For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect. To calculate each participant’s change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2. I did the same to calculate the change scores for negative affect. Thus, each participant had a change score for positive affect and a change score for negative affect. The anchor items for positive and",text,"data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested', 
  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired', 
  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)

data$PANAS_PA_D2mean = rowMeans(data[ , c('PANASD2_1_Attentive', 'PANASD2_2_Interested', 
  'PANASD2_3_Alert', 'PANASD2_4_Excited', 'PANASD2_5_Enthusiastic', 'PANASD2_6_Inspired', 
  'PANASD2_7_Proud', 'PANASD2_8_Determined', 'PANASD2_9_Strong', 'PANASD2_10_Active')], na.rm=TRUE) [...] data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":60-66; 77",1,"Welch independent-samples t-test comparing positive affect change scores (Time 2 – Time 1) between participants who saw the anchor items before versus after the PANAS, using the full sample.","“For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect.”[...]“To calculate each participant's change score for positive affect, I subtracted the mean score for positive affect at Time 1 from the mean score for positive affect at Time 2. I did the same to calculate the change scores for negative affect.”[...]“I excluded participants for (i) having missing responses on any measures or (ii) giving the same response to all items across the three measures in either the first or second survey. [...] The final dataset for this paper consisted of 903 participants who completed the PANAS on both Time 1 and Time 2.”[...]“To further examine any potential differences between Note.Total N = 903. Change Score = Average Change Score. Before = anchor-item presented before the PANAS. After = anchor-item presented after the PANAS. T1 = Time 1. T2 = Time 2.Sometimes, the difference in means and standard deviations presented for T1 and T2 do not exactly match with the presented mean difference because they are rounded to the nearest 2 decimals. Note.Total N = 903. Change Score = Average Change Score. Before = anchor-item presented before the PANAS. After = anchor-item presented after the PANAS. T1 = Time 1. T2 = Time 2.Sometimes, the difference in means and standard deviations presented for T1 and T2 do not exactly match with the presented mean difference because they are rounded to the nearest 2 decimals. people who saw the anchor before vs after the Time 2 measurement, I also conducted t-tests on the Time 2 ratings and on the change scores, without subcategorizing participants based on their anchor-responses.”",,"data$PANAS_PA_D1mean = rowMeans(data[ , c('PANASD1_1_Attentive', 'PANASD1_2_Interested', 
  'PANASD1_3_Alert', 'PANASD1_4_Excited', 'PANASD1_5_Enthusiastic', 'PANASD1_6_Inspired', 
  'PANASD1_7_Proud', 'PANASD1_8_Determined', 'PANASD1_9_Strong', 'PANASD1_10_Active')], na.rm=TRUE)

data$PANAS_PA_D2mean = rowMeans(data[ , c('PANASD2_1_Attentive', 'PANASD2_2_Interested', 
  'PANASD2_3_Alert', 'PANASD2_4_Excited', 'PANASD2_5_Enthusiastic', 'PANASD2_6_Inspired', 
  'PANASD2_7_Proud', 'PANASD2_8_Determined', 'PANASD2_9_Strong', 'PANASD2_10_Active')], na.rm=TRUE)

## each person's change score for PA and NA from D1 to D2
data$PA_change = data$PANAS_PA_D2mean - data$PANAS_PA_D1mean[...]#### comparing before vs after groups on PA and NA at Time 2 and change scores ####
t.test(data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor Before""], 
  data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor After""])
[...]
t.test(data$PA_change[data$Anchor.Position==""Anchor Before""], 
  data$PA_change[data$Anchor.Position==""Anchor After""])",,
A9,inference criteria,"t(898.40) = 1.07, p = .283, mean difference = 0.02, CI 95%[-0.04, 0.15], d = 0.07, CI 95%[-0.06, 0.20].",text,"t.test(data$PA_change[data$Anchor.Position==""Anchor Before""], 
  data$PA_change[data$Anchor.Position==""Anchor After""]) […] cohen.d(data$PA_change[data$Anchor.Position==""Anchor Before""],
        data$PA_change[data$Anchor.Position==""Anchor After""],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":561-562; 565-569",1,"Welch independent-samples t-test comparing positive affect change scores (Time 2 – Time 1) between participants who saw the anchor items before versus after the PANAS, using the full sample.","“In the analyses I used Welch's independent samples t-tests.” [...] “Similarly, change scores in positive affect for people who saw the anchor items before the PANAS (M = 0.02, SD = 0.70) were not statistically significantly different from change scores for people who saw the anchor items after (M = -0.04, SD = 0.78), t(898.40) = 1.07, p = .283, mean difference = 0.02, CI 95%[-0.04, 0.15], d = 0.07, CI 95% [-0.06, 0.20]. In both cases, the observed raw and standardized effect sizes are quite tiny.”",,"“#### comparing before vs after groups on PA and NA at Time 2 and change scores ####
 t.test(data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor Before""], 
   data$PANAS_PA_D2mean[data$Anchor.Position==""Anchor After""]) [...] 
 t.test(data$PA_change[data$Anchor.Position==""Anchor Before""], 
   data$PA_change[data$Anchor.Position==""Anchor After""]) [...] 
 cohen.d(data$PA_change[data$Anchor.Position==""Anchor Before""],
         data$PA_change[data$Anchor.Position==""Anchor After""],
         pooled=TRUE,paired=FALSE,
         na.rm=TRUE, hedges.correction=FALSE,
         conf.level=0.95)”",,1
A10,model specification,"I also conducted t-tests on the Time 2 ratings and on the change scores, without subcategorizing participants based on their anchor-responses. [...]d = 0.07.",text,"t.test(data$NA_change[data$Anchor.Position==""Anchor Before""], 
  data$NA_change[data$Anchor.Position==""Anchor After""]) […] cohen.d(data$NA_change[data$Anchor.Position==""Anchor Before""],
        data$NA_change[data$Anchor.Position==""Anchor After""],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":572-573; 576-580",1,"Welch independent-samples t-test comparing negative affect change scores (Time 2 – Time 1) between participants who saw the anchor items before versus after the PANAS, using the full sample.","In the analyses I used Welch's independent samples t-tests.[...]And the difference in change scores for negative affect between people who saw the anchor items before (M = -0.12, SD = 0.65) the PANAS as compared to after (M = -0.08, SD = 0.69) were also statistically nonsignificant, t(900.89) = 0.83, p = .407, mean difference = 0.04, CI 95%[-0.05, 0.12], d = 0.06, CI 95%[-0.08, 0.19].",,"#### comparing before vs after groups on PA and NA at Time 2 and change scores ####[...]t.test(data$NA_change[data$Anchor.Position==""Anchor Before""], \n  data$NA_change[data$Anchor.Position==""Anchor After""])",,1
A10,variable specification,"And the difference in change scores for negative affect between people who saw the anchor items before (M = -0.12, SD = 0.65) the PANAS as compared to after",text," t.test(data$NA_change[data$Anchor.Position==""Anchor Before""], 
  data$NA_change[data$Anchor.Position==""Anchor After""]) […] cohen.d(data$NA_change[data$Anchor.Position==""Anchor Before""],
        data$NA_change[data$Anchor.Position==""Anchor After""],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)","""./pilot_paper/anvari_2023/Anchor_BeforevsAfter_analysis.R"":572-573; 576-580",1,"Welch independent-samples t-test comparing negative affect change scores (Time 2 – Time 1) between participants who saw the anchor items before versus after the PANAS, using the full sample.","""And the difference in change scores for negative affect between people who saw the anchor items before (M = -0.12, SD = 0.65) the PANAS as compared to after (M = -0.08, SD = 0.69) were also statistically nonsignificant, t(900.89) = 0.83, p = .407, mean difference = 0.04, CI 95%[-0.05, 0.12], d = 0.06, CI 95%[-0.08, 0.19].""[...]""I also conducted t-tests on the Time 2 ratings and on the change scores, without subcategorizing participants based on their anchor-responses. [...] This is because the following analyses examine the full sample, rather than focusing only on the \""a little less/more\"" groups.""[...]""For Time 1 and Time 2 separately, I averaged the positive affect items for each participant to produce a mean score for positive affect, and I did the same for the negative affect items to produce a mean score for negative affect. [...] I did the same to calculate the change scores for negative affect. Thus, each participant had a change score for positive affect and a change score for negative affect.""",,"data$PANAS_NA_D1mean = rowMeans(data[ , c('PANASD1_11_Distressed', 'PANASD1_12_Upset', 
  'PANASD1_13_Hostile', 'PANASD1_14_Irritable', 'PANASD1_15_Scared', 'PANASD1_16_Afraid', 
  'PANASD1_17_Ashamed', 'PANASD1_18_Guilty', 'PANASD1_19_Nervous', 'PANASD1_20_Jittery')], na.rm=TRUE)

data$PANAS_NA_D2mean = rowMeans(data[ , c('PANASD2_11_Distressed', 'PANASD2_12_Upset', 
  'PANASD2_13_Hostile', 'PANASD2_14_Irritable', 'PANASD2_15_Scared', 'PANASD2_16_Afraid', 
  'PANASD2_17_Ashamed', 'PANASD2_18_Guilty', 'PANASD2_19_Nervous', 'PANASD2_20_Jittery')], na.rm=TRUE)

## each person's change score for PA and NA from D1 to D2
[...]
data$NA_change = data$PANAS_NA_D2mean - data$PANAS_NA_D1mean
[...]
#### comparing before vs after groups on PA and NA at Time 2 and change scores ####
[...]
t.test(data$NA_change[data$Anchor.Position==""Anchor Before""], 
  data$NA_change[data$Anchor.Position==""Anchor After""])
[...]
cohen.d(data$NA_change[data$Anchor.Position==""Anchor Before""],
        data$NA_change[data$Anchor.Position==""Anchor After""],
        pooled=TRUE,paired=FALSE,
        na.rm=TRUE, hedges.correction=FALSE,
        conf.level=0.95)",,1
